Title,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Horror,Musical,Mystery,Romance,Scifi,Short Film,Thriller,Western
Blue Pullman,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Lord of the Flies,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Gamblers,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Without Warning,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Rhodes of Africa,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
The Devil’s Gift,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
On the Beach,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Trial and Error,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Johnny Smith and Poker-Huntas,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
When Will I Be Loved,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
From the Drain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Necessary Roughness,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Song of the Islands,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Aviary,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Midnight Phantom,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
Sweeney Todd: The Demon Barber of Fleet Street,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
Hula-La-La,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
The Lady from Peking,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Chaplin,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Nothing to Lose,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Beyond the Time Barrier,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Friday the 13th: The Final Chapter,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Stoker,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cipher Bureau,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
I'm Losing You,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
EMR,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Beastmaster 2: Through the Portal of Time,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
The Gangster,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Amy,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Range Feud,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Daughters,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
National Lampoon's Class Reunion,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I Will Repay,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Resident Evil,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
Thief of Damascus,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Chick Magnet,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Green Dolphin Street,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
Nell,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Keep in Style,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Monkey Business,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
The Man with the Perfect Swing,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Someone to Watch Over Me,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0
Monsters Crash the Pajama Party,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
I Could Never Be Your Woman,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
The Hallelujah Trail,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9 Dead Gay Guys,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Careless Years,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
My Wild Irish Rose,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
You Never Can Tell,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Inherit the Wind,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Perrier's Bounty,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
Fools Rush In,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Salvage with a Smile,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CSNY Déjà Vu,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Crime Doctor,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
Suburban Girl,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Ethan Mao,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
College Coach,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Some May Live,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grace of My Heart,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0
Images,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Le Cop on Le Rocks,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
City Out of Wilderness,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
How They Get There,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
For Her Sake,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
God's Gift to Women,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
The Seinfeld Chronicles,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Arctic Passage,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Gorgon,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
The Prime of Miss Jean Brodie,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Sioux City,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
Count Your Blessings,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
The Moment After 2: The Awakening,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Garage Days,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
By Love Possessed,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Puccini for Beginners,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A Shot in the Dark,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Riptide,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
The Angels Wash Their Faces,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Shaft,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
The Ghost of Slumber Mountain,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Just Wright,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
Casper: A Spirited Beginning,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Breaking the Surface: The Greg Louganis Story,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Arlington West: The Film,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Big Trees,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bhopal: Prayer for Rain,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bless the Child,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Secrets,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Grizzly II: The Predator,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Hollywood Luck,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Flesh,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Pink Blue Plate,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Wolf's Clothing,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
San Francisco,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
13 Ghosts,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Living Christ Series,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Dancemaker,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Book of Stars,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Shanty Where Santy Claus Lives,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0
Romasanta,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
Movie Movie,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Get Smart's Bruce & Lloyd Out of Control,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ernest Goes to School,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Men Who Have Made Love to Me,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Heaven,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Journey,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Comebacks,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Price of Rendova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Before the Light Turns Green,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
British Agent,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Norma Jean & Marilyn,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Slapstick of Another Kind,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Goldie,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
Stage Beauty,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0
Asbury Park,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Jefferson in Paris,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
The Way,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
The Iron Lady,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Pink on the Cob,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Loopy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
The Land Before Time III: The Time of the Great Giving,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The 39 Steps,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
The Lady Vanishes,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
Hattie,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Broadway Through a Keyhole,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Moonshine,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Go Fish,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
The Contract,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Love at Stake,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Chess-Nuts,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
Devil's Playground,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ordinary Decent Criminal,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
A Wild Hare,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Night Owls,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Clash of the Titans,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
The Killers,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
G.I. Jane,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Not Like Everyone Else,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Never a Dull Moment,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
The Thundering Herd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Deadly Outbreak,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chitty Chitty Bang Bang,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
Yanks,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
Meet Wally Sparks,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Redhead from Wyoming,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Harlow,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Coney Island Baby,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
Godsend,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
Track 29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Great Game,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Bloodfist II,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Open Season 3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ethel,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tanya's Island,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
Don't Knock the Rock,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Luboml: My Heart Remembers,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A Steam Train Passes,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
And God Created Woman,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
Monster Dog,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Golden Spiders: A Nero Wolfe Mystery,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
The Two Worlds of Jenny Logan,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"Jeff, Who Lives at Home",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Live It Up!,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
The Final Cut,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
The Man in Grey,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Betty Boop's May Party,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
The Bridge,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Eclipse,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
Palmy Days,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
A Single Man,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
The Frightened Man,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Forgotten Refugees,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Recovered: Journeys Through the Autism Spectrum and Back,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pop Class,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Return to Babylon,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Grateful Dead: Backstage Pass,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Wolfman,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Mortal Storm,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Canaries Sometimes Sing,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Billy the Kid,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Superfantagenio,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
No Time for Sergeants,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Pies and Guys,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Jekyll and Hyde... Together Again,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Breath of the Gods,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Strange Illusion,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
Plašitelj kormorana,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Diana of the Crossways,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Where's That Fire?,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Bastards of the Party,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Wetback: The Undocumented Documentary,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
If Winter Comes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Happy Road,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Berkeley,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
The East,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
Pink Suds,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Six-Gun Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nice Guy Johnny,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
Bangkok Dangerous,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Charro!,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Hole in the Paper Sky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Straight from the Heart,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
A Dog's Life,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Runaway Match,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Nailed,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
