Title,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Horror,Musical,Mystery,Romance,Scifi,Short Film,Thriller,Western,fold
Sex and Lies in Sin City,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
Prague,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
Sherlock Holmes,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,3
Juke Joint,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Stormbreaker,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Garfield in Paradise,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Seven Minutes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
The Black Watch,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
Jack Armstrong,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Driving Mr. Pink,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3
Kingdom of the Spiders,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2
Sidewalks of New York,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
There It Is,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Coffee and Cigarettes: Somewhere in California,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Look in Any Window,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
The Third Clue,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3
"C'mon, Let's Live a Little",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3
Yearning to Belong,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Legend of Earthsea,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3
Teaserama,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Gummo,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Rock Haven,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3
The Richest Girl in the World,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3
They Gave Him a Gun,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3
The Price of Victory,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
Death in the Air,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
King Dinosaur,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,3
Dirty Deeds,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Society Dog Show,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
Dover,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3
The Golden Touch,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
Night Caller from Outer Space,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Bart Got a Room,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Devil's Gate,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
One on One,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Soul Survivors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
Gold Rush Boys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Oh! What a Lovely War,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
Charlie Chan in Shanghai,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1
Player 5150,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Weenie Roast,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
The Devil's Chair,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
Tomorrow Is Today,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
Le Bowser Bagger,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Hell's Highway,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
Tub Girls,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
Troublesome Creek: A Midwestern,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
The Chances of the World Changing,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
Richard Pryor: Live on the Sunset Strip,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dallas Buyer's Club,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
Mr. Denning Drives North,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Day of the Dead: Epidemic,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Boogeyman,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mojave Magic: A Turtle's Eye View of SpaceShipOne,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mr. Wong in Chinatown,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3
The Presence,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
In the Name of the Father,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
Man Made Monster,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2
A Song A Day,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3
Blazing the Overland Trail,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Zebrahead,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3
One A.M.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3
Sing Boy Sing,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
Out of Season,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Rivers of Fire and Ice,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
Poco... Little Dog Lost,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
World Of Plenty,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
Persuasion,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,3
Why Me?,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Woo,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
Seeing Stars,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
Me and My Gal,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
Clubland,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Pink Blue Plate,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Boardinghouse,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
The Return of the Musketeers,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Diamonds on Wheels,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Centennial Summer,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
The Cockettes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Bulldog Drummond's Revenge,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3
Men of Steel,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
S&M Short and Male,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bank Brothers,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Forces' Sweetheart,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
The Real Cancun,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pigskin Parade,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Union Depot,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3
Whirly Girl,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3
Fifty Million Frenchmen,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2
30 Days of Night: Blood Trails,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
My Breakfast with Blassie,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abraham Lincoln's Clemency,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Woman Hungry,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Colossus: The Forbin Project,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
"Agueda Martinez: Our People, Our Country",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Housekeeping,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3
Plague,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,2
Perfect Day,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
In the Pink,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3
Holiday in the Sun,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ride Lonesome,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
The Pasha's Daughter,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
The Shawshank Redemption,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
The Mission,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,3
The Soloist,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Harry and the Hendersons,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3
Rabbit Transit,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Mad Dog Morgan,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3
"Miles of Smiles, Years of Struggle",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
The Power,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Titanic,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3
In search of a midnight kiss,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
The Flying Squad,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3
Hanover Street,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3
Now I'll Tell,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2
Taking Off,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2
Summer Holiday,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2
Hellbilly 58,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
The Mouse Comes to Dinner,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2
So Ends Our Night,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Manderlay,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Reverb,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
The Third Girl From the Left,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Leave It to Smith,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Paranormal Activity 4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Tucker & Dale vs Evil,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Halliday Brand,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Wood for War,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
All Ashore,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3
Thunderground,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Apple Jack,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3
A Circle of Deception,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Assault in the Ring,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
The Pest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Miss Rose White,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Texas to Bataan,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bipolar: A Narration of Manic Depression,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3
The Book of Revelation,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
Greetings,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
At Sword's Point,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Shakedown,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
One Mysterious Night,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,3
Scream 3,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,2
Deflation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
American Roulette,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
Strength and Honour,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cancel My Reservation,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Westward Ho,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
The Old Corral,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3
Secret Friends,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Feast,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3
Graduation,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Strategy of Terror,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Pieces of April,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Mutiny of the Elisnore,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
Twilight in the Sierras,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3
If...,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
The Fighting American,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
Muzzle Tough,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3
Government Agents vs Phantom Legion,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Step Up 2: The Streets,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
The Death of Poe,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
Situation Hopeless... But Not Serious,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Sitting Pretty,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Singing Nun,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Border War: The Battle Over Illegal Immigration,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
"Smile, Darn Ya, Smile!",0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2
A Bug's Life,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2
Death Hunt,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Carnival Story,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
Scooby-Doo and the Monster of Mexico,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Life for Ruth,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
The Winning Season,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
The Sword in the Stone,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
Hoodlum & Son,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Marie and Bruce,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3000 Miles to Graceland,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3
Don't Ever Leave Me,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Turner & Hooch,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2
Paris Follies of 1956,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
Ivanhoe,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1
Concert for George,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
Lost Horizon,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
Roberta,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
Lost and Found,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Edge of Doom,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,3
Pixar Short Films Collection - Volume 1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
"Grandview, U.S.A.",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3
Satan's School for Girls,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,3
Hidden City,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3
A Quiet Street,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2
Faster,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2
Cradle Song,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
The Spirit of St. Louis,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
General Spanky,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3
Looking For Langston,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
The Myth of the American Sleepover,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3
The Postman,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
All the Way Up,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Picture Mommy Dead,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
Return to Oz,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
Tai-Pan,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
Bio-Dome,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gun for a Coward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
The Woman I Love,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Loins of Punjab Presents,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
It's the Same World,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3
Heldorado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Pippi Longstocking,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2
Homeless Hare,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2
All Over the Guy,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Requiem for a Heavyweight,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
Looks and Smiles,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
Bringing Up Bobby,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
The Moonshine War,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Women of the Sun,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
The Cavalier of the Streets,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Pink Valiant,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Jack Smith and the Destruction of Atlantis,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Urethra Chronicles,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
The People I've Slept With,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
Pluto's Party,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2
Madame Du Barry,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Judgment at Nuremberg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Pretty Maids All in A Row,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
Up Jumped a Swagman,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Oxygen,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
For Richer or Poorer,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
The Baby-Sitters Club,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3
Strange Frame: Love & Sax,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
Cradle of Fear,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
The Adventures of Tom Sawyer,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
Family Plan,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Luster,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2
Sing Another Chorus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
Traveling Hopefully,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
Party,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3
The Pagemaster,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Drag,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
Torch Song,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Young Winston,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
Day of the Wolves,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
Lassiter,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Pink on the Cob,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Goodbye Charlie,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3
Altered,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2
"The Favour, the Watch and the Very Big Fish",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
Duel Personality,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3
